lsoa_cd,lsoa_nm,lsoa_kmsq,canopy_kmsq,canopy_per,la_cd,la_nm
E01000995,Croydon 009B,143320,16062.379,11.207,E09000008,Croydon
E01000996,Croydon 009C,105209,14000.578,13.307,E09000008,Croydon
E01000997,Croydon 009D,106373,10684.062,10.044,E09000008,Croydon
E01000998,Croydon 010A,138744,16975.82,12.235,E09000008,Croydon
E01000999,Croydon 009E,97443.4,8259.009,8.476,E09000008,Croydon
E01001000,Croydon 010B,138713,13566.512,9.78,E09000008,Croydon
E01001001,Croydon 013A,121497,16038.07,13.2,E09000008,Croydon
E01001002,Croydon 009F,106998,9081.077,8.487,E09000008,Croydon
E01001003,Croydon 010C,156200,15197.626,9.73,E09000008,Croydon
E01001004,Croydon 015A,155761,19596.245,12.581,E09000008,Croydon
E01001005,Croydon 019A,91634.1,4366.101,4.765,E09000008,Croydon
E01001006,Croydon 016A,292148,14372.077,4.919,E09000008,Croydon
E01001007,Croydon 016B,149495,8516.755,5.697,E09000008,Croydon
E01001008,Croydon 019B,183962,9619.011,5.229,E09000008,Croydon
E01001009,Croydon 019C,114709,9029.853,7.872,E09000008,Croydon
E01001010,Croydon 019D,728808,18649.038,2.559,E09000008,Croydon
E01001011,Croydon 019E,122208,8657.168,7.084,E09000008,Croydon
E01001012,Croydon 020A,142762,22413.05,15.7,E09000008,Croydon
E01001013,Croydon 020B,198808,10403.452,5.233,E09000008,Croydon
E01001014,Croydon 024A,642183,22522.539,3.507,E09000008,Croydon
E01001015,Croydon 041A,400855,104325.485,26.026,E09000008,Croydon
E01001016,Croydon 041B,1047830,361402.271,34.491,E09000008,Croydon
E01001017,Croydon 043A,1344940,246572.843,18.333,E09000008,Croydon
E01001018,Croydon 044A,950899,471934.942,49.63,E09000008,Croydon
E01001019,Croydon 044B,598397,132342.29,22.116,E09000008,Croydon
E01001020,Croydon 044C,360232,69858.383,19.393,E09000008,Croydon
E01001021,Croydon 044D,2042490,748115.335,36.628,E09000008,Croydon
E01001022,Croydon 044E,997409,416315.062,41.74,E09000008,Croydon
E01001023,Croydon 041C,571854,85934.087,15.027,E09000008,Croydon
E01001024,Croydon 043B,278597,48390.856,17.369,E09000008,Croydon
E01001025,Croydon 043C,228190,30849.582,13.519,E09000008,Croydon
E01001026,Croydon 043D,277147,45317.848,16.352,E09000008,Croydon
E01001027,Croydon 043E,1445780,275658.334,19.066,E09000008,Croydon
E01001028,Croydon 038A,872386,203588.828,23.337,E09000008,Croydon
E01001029,Croydon 038B,499986,102149.16,20.43,E09000008,Croydon
E01001030,Croydon 038C,419156,106124.812,25.319,E09000008,Croydon
E01001031,Croydon 038D,401716,73246.991,18.234,E09000008,Croydon
E01001032,Croydon 035A,646516,284802.251,44.052,E09000008,Croydon
E01001033,Croydon 031A,298463,41643.295,13.953,E09000008,Croydon
E01001034,Croydon 031B,299120,59524.244,19.9,E09000008,Croydon
E01001035,Croydon 027A,218271,53774.192,24.636,E09000008,Croydon
E01001036,Croydon 029A,846415,270099.376,31.911,E09000008,Croydon
E01001037,Croydon 029B,156512,23083.632,14.749,E09000008,Croydon
E01001038,Croydon 029C,202435,64802.412,32.011,E09000008,Croydon
E01001039,Croydon 029D,461573,196069.527,42.479,E09000008,Croydon
E01001040,Croydon 029E,194356,26557.647,13.664,E09000008,Croydon
E01001041,Croydon 031C,199814,29845.766,14.937,E09000008,Croydon
E01001042,Croydon 024B,208608,9816.769,4.706,E09000008,Croydon
E01001043,Croydon 027B,342113,21617.911,6.319,E09000008,Croydon
E01001044,Croydon 023A,447740,120113.016,26.827,E09000008,Croydon
E01001045,Croydon 027C,496011,51470.342,10.377,E09000008,Croydon
E01001046,Croydon 023B,196054,46959.288,23.952,E09000008,Croydon
E01001047,Croydon 027D,181872,34163.858,18.785,E09000008,Croydon
E01001048,Croydon 020C,349461,22668.454,6.487,E09000008,Croydon
E01001049,Croydon 023C,1387970,319365.799,23.01,E09000008,Croydon
E01001050,Croydon 023D,154904,30725.779,19.835,E09000008,Croydon
E01001051,Croydon 030A,255896,23769.095,9.289,E09000008,Croydon
E01001052,Croydon 030B,161795,89639.232,55.403,E09000008,Croydon
E01001053,Croydon 032A,231082,14246.164,6.165,E09000008,Croydon
E01001054,Croydon 030C,251409,12141.514,4.829,E09000008,Croydon
E01001055,Croydon 032B,291738,51620.958,17.694,E09000008,Croydon
E01001056,Croydon 030D,154960,5811.58,3.75,E09000008,Croydon
E01001057,Croydon 030E,137881,6992.88,5.072,E09000008,Croydon
E01001058,Croydon 034A,196653,37617.169,19.129,E09000008,Croydon
E01001059,Croydon 034B,184517,45293.387,24.547,E09000008,Croydon
E01001060,Croydon 034C,1517410,390680.385,25.747,E09000008,Croydon
E01001061,Croydon 034D,453619,36051.709,7.948,E09000008,Croydon
E01001062,Croydon 026A,1243410,294936.235,23.72,E09000008,Croydon
E01001063,Croydon 026B,318428,57733.528,18.131,E09000008,Croydon
E01001064,Croydon 026C,3457390,1485601.931,42.969,E09000008,Croydon
E01001065,Croydon 034E,1175720,113020.495,9.613,E09000008,Croydon
E01001066,Croydon 034F,163040,12784.09,7.841,E09000008,Croydon
E01001067,Croydon 041D,684682,249869.779,36.494,E09000008,Croydon
E01001068,Croydon 042A,770185,273904.217,35.563,E09000008,Croydon
E01001069,Croydon 040A,399414,136323.598,34.131,E09000008,Croydon
E01001070,Croydon 040B,528556,181639.224,34.365,E09000008,Croydon
E01001071,Croydon 042B,748488,157381.153,21.027,E09000008,Croydon
E01001072,Croydon 042C,2170130,658824.71,30.359,E09000008,Croydon
E01001073,Croydon 037A,306430,75498.128,24.638,E09000008,Croydon
E01001074,Croydon 041E,405392,102563.861,25.3,E09000008,Croydon
E01001075,Croydon 040C,446733,136628.562,30.584,E09000008,Croydon
E01001076,Croydon 036A,343174,23644.941,6.89,E09000008,Croydon
E01001077,Croydon 032C,181928,9689.518,5.326,E09000008,Croydon
E01001078,Croydon 032D,374102,21715.339,5.805,E09000008,Croydon
E01001079,Croydon 036B,302905,17294.946,5.71,E09000008,Croydon
E01001080,Croydon 036C,218454,21985.616,10.064,E09000008,Croydon
E01001081,Croydon 036D,455447,48676.265,10.688,E09000008,Croydon
E01001082,Croydon 032E,552393,129708.301,23.481,E09000008,Croydon
E01001083,Croydon 003A,322437,54650.186,16.949,E09000008,Croydon
E01001084,Croydon 002A,598287,166059.325,27.756,E09000008,Croydon
E01001085,Croydon 004A,181881,26867.524,14.772,E09000008,Croydon
E01001086,Croydon 003B,230258,35579.238,15.452,E09000008,Croydon
E01001087,Croydon 003C,375882,78093.042,20.776,E09000008,Croydon
E01001088,Croydon 004B,155761,18195.785,11.682,E09000008,Croydon
E01001089,Croydon 004C,157070,18343.984,11.679,E09000008,Croydon
E01001090,Croydon 004D,178648,26413.518,14.785,E09000008,Croydon
E01001091,Croydon 004E,319370,73275.367,22.944,E09000008,Croydon
E01001092,Croydon 037B,588650,142306.299,24.175,E09000008,Croydon
E01001093,Croydon 037C,405162,59466.811,14.677,E09000008,Croydon
E01001094,Croydon 038E,1169410,391118.872,33.446,E09000008,Croydon
E01001095,Croydon 031D,240044,38988.922,16.242,E09000008,Croydon
E01001096,Croydon 037D,394759,99575.208,25.224,E09000008,Croydon
E01001097,Croydon 037E,440998,64958.187,14.73,E09000008,Croydon
E01001098,Croydon 037F,478623,123626.716,25.83,E09000008,Croydon
E01001099,Croydon 040D,211896,53017.379,25.02,E09000008,Croydon
E01001100,Croydon 031E,243349,44780.842,18.402,E09000008,Croydon
E01001101,Croydon 035B,546996,71734.937,13.114,E09000008,Croydon
E01001102,Croydon 035C,637109,174268.119,27.353,E09000008,Croydon
E01001103,Croydon 039A,736566,213609.187,29.001,E09000008,Croydon
E01001104,Croydon 042D,1706750,459534.975,26.925,E09000008,Croydon
E01001105,Croydon 039B,988081,507079.496,51.32,E09000008,Croydon
E01001106,Croydon 039C,431034,126184.672,29.275,E09000008,Croydon
E01001107,Croydon 035D,754932,216646.061,28.697,E09000008,Croydon
E01001108,Croydon 035E,544168,138689.669,25.487,E09000008,Croydon
E01001109,Croydon 013B,471428,49604.388,10.522,E09000008,Croydon
E01001110,Croydon 020D,153897,17992.593,11.691,E09000008,Croydon
E01001111,Croydon 010D,204476,16870.781,8.251,E09000008,Croydon
E01001112,Croydon 013C,355852,28988.282,8.146,E09000008,Croydon
E01001113,Croydon 013D,176239,18997.069,10.779,E09000008,Croydon
E01001114,Croydon 013E,178286,16690.606,9.362,E09000008,Croydon
E01001115,Croydon 015B,219107,28685.628,13.092,E09000008,Croydon
E01001116,Croydon 013F,157877,16990.373,10.762,E09000008,Croydon
E01001117,Croydon 015C,174128,18185.013,10.443,E09000008,Croydon
E01001118,Croydon 020E,185887,17775.806,9.563,E09000008,Croydon
E01001119,Croydon 034G,689060,401888.578,58.324,E09000008,Croydon
E01001120,Croydon 033A,306492,80753.62,26.348,E09000008,Croydon
E01001121,Croydon 039D,2215600,828926.828,37.413,E09000008,Croydon
E01001122,Croydon 033B,1237550,557664.342,45.062,E09000008,Croydon
E01001123,Croydon 033C,748518,333322.257,44.531,E09000008,Croydon
E01001124,Croydon 033D,600608,145728.873,24.264,E09000008,Croydon
E01001125,Croydon 033E,388315,63115.191,16.254,E09000008,Croydon
E01001126,Croydon 034H,219738,27075.133,12.322,E09000008,Croydon
E01001127,Croydon 025A,329747,51294.586,15.556,E09000008,Croydon
E01001128,Croydon 025B,219369,72269.841,32.944,E09000008,Croydon
E01001129,Croydon 026D,290370,50923.378,17.537,E09000008,Croydon
E01001130,Croydon 025C,138180,34268.494,24.8,E09000008,Croydon
E01001131,Croydon 018C,163971,49713.031,30.318,E09000008,Croydon
E01001132,Croydon 018D,431627,63128.114,14.626,E09000008,Croydon
E01001133,Croydon 026E,399499,68384.607,17.118,E09000008,Croydon
E01001134,Croydon 018E,376330,62644.793,16.646,E09000008,Croydon
E01001135,Croydon 025D,450876,101906.598,22.602,E09000008,Croydon
E01001136,Croydon 007A,281779,20682.841,7.34,E09000008,Croydon
E01001137,Croydon 001A,354921,137379.133,38.707,E09000008,Croydon
E01001138,Croydon 001B,262450,87751.091,33.435,E09000008,Croydon
E01001139,Croydon 007B,184332,33888.929,18.385,E09000008,Croydon
E01001140,Croydon 007C,350815,153062.45,43.631,E09000008,Croydon
E01001141,Croydon 008A,152727,31469.889,20.605,E09000008,Croydon
E01001142,Croydon 007D,310337,61486.585,19.813,E09000008,Croydon
E01001143,Croydon 008B,223642,48322.367,21.607,E09000008,Croydon
E01001144,Croydon 007E,120140,15379.98,12.802,E09000008,Croydon
E01001145,Croydon 008C,139774,17797.941,12.733,E09000008,Croydon
E01001146,Croydon 006A,131829,17131.636,12.995,E09000008,Croydon
E01001147,Croydon 005A,200897,23984.787,11.939,E09000008,Croydon
E01001148,Croydon 005B,142163,19034.605,13.389,E09000008,Croydon
E01001149,Croydon 006B,137096,42555.412,31.041,E09000008,Croydon
E01001150,Croydon 006C,277985,99358.326,35.742,E09000008,Croydon
E01001151,Croydon 005C,167003,23287.645,13.944,E09000008,Croydon
E01001152,Croydon 005D,172157,17376.452,10.093,E09000008,Croydon
E01001153,Croydon 006D,139917,45009.386,32.169,E09000008,Croydon
E01001154,Croydon 006E,176108,32882.869,18.672,E09000008,Croydon
E01001155,Croydon 010E,135713,9676.013,7.13,E09000008,Croydon
E01001156,Croydon 001C,277827,83361.047,30.005,E09000008,Croydon
E01001157,Croydon 002B,331873,88436.975,26.648,E09000008,Croydon
E01001158,Croydon 005E,209884,85726.313,40.845,E09000008,Croydon
E01001159,Croydon 002C,403348,110514.065,27.399,E09000008,Croydon
E01001160,Croydon 002D,321094,48046.233,14.963,E09000008,Croydon
E01001161,Croydon 003D,297522,40314.407,13.55,E09000008,Croydon
E01001162,Croydon 001D,313948,83473.029,26.588,E09000008,Croydon
E01001163,Croydon 002E,282189,77471.674,27.454,E09000008,Croydon
E01001164,Croydon 001E,182758,36732.917,20.099,E09000008,Croydon
E01001165,Croydon 024C,180612,13289.115,7.358,E09000008,Croydon
E01001166,Croydon 024D,175723,14281.146,8.127,E09000008,Croydon
E01001167,Croydon 028A,563496,42307.223,7.508,E09000008,Croydon
E01001168,Croydon 024E,224149,19816.28,8.841,E09000008,Croydon
E01001169,Croydon 028B,223647,34389.317,15.377,E09000008,Croydon
E01001170,Croydon 027E,257358,30389.638,11.808,E09000008,Croydon
E01001171,Croydon 028C,297937,55200.921,18.528,E09000008,Croydon
E01001172,Croydon 028D,702839,32152.66,4.575,E09000008,Croydon
E01001173,Croydon 028E,1017770,142960.69,14.046,E09000008,Croydon
E01001174,Croydon 011A,228962,27534.966,12.026,E09000008,Croydon
E01001175,Croydon 011B,151571,14366.958,9.479,E09000008,Croydon
E01001176,Croydon 011C,252243,30953.882,12.271,E09000008,Croydon
E01001177,Croydon 016C,293827,34922.573,11.885,E09000008,Croydon
E01001178,Croydon 015D,180460,19503.8,10.808,E09000008,Croydon
E01001179,Croydon 016D,114502,11947.056,10.434,E09000008,Croydon
E01001180,Croydon 016E,152886,11265.213,7.368,E09000008,Croydon
E01001181,Croydon 015E,146050,13437.004,9.2,E09000008,Croydon
E01001182,Croydon 011D,130169,18483.1,14.199,E09000008,Croydon
E01001183,Croydon 011E,135062,9178.854,6.796,E09000008,Croydon
E01001184,Croydon 011F,188702,21433.43,11.358,E09000008,Croydon
E01001185,Croydon 014B,201151,34036.101,16.921,E09000008,Croydon
E01001186,Croydon 014C,180081,18321.902,10.174,E09000008,Croydon
E01001187,Croydon 017E,166184,15559.003,9.363,E09000008,Croydon
E01001188,Croydon 014D,188133,13082.309,6.954,E09000008,Croydon
E01001189,Croydon 045B,117853,13552.423,11.499,E09000008,Croydon
E01001190,Croydon 045C,252132,58807.701,23.324,E09000008,Croydon
E01001191,Croydon 008D,157032,12624.688,8.04,E09000008,Croydon
E01001192,Croydon 008E,185748,32066.628,17.264,E09000008,Croydon
E01001193,Croydon 014E,176287,28818.512,16.347,E09000008,Croydon
E01001194,Croydon 045D,542569,96555.137,17.796,E09000008,Croydon
E01001195,Ealing 021A,414430,57415.924,13.854,E09000009,Ealing
E01001196,Ealing 015A,229177,36777.901,16.048,E09000009,Ealing
E01001197,Ealing 021B,402962,70440.278,17.481,E09000009,Ealing
E01001198,Ealing 021C,109374,22707.535,20.761,E09000009,Ealing
E01001199,Ealing 021D,105788,15816.691,14.951,E09000009,Ealing
E01001200,Ealing 025A,135290,35163.681,25.991,E09000009,Ealing
E01001201,Ealing 025B,122588,30301.861,24.718,E09000009,Ealing
E01001202,Ealing 025C,163429,26907.801,16.465,E09000009,Ealing
E01001203,Ealing 025D,92041.1,19291.558,20.96,E09000009,Ealing
E01001204,Ealing 018A,168444,32705.983,19.417,E09000009,Ealing
E01001205,Ealing 018B,246184,40852.474,16.594,E09000009,Ealing
E01001206,Ealing 018C,149666,37252.883,24.891,E09000009,Ealing
E01001207,Ealing 018D,159653,29351.471,18.385,E09000009,Ealing
E01001208,Ealing 018E,539028,146802.904,27.235,E09000009,Ealing
E01001209,Ealing 013A,276762,82196.94,29.7,E09000009,Ealing
E01001210,Ealing 016A,226347,49820.423,22.011,E09000009,Ealing
E01001211,Ealing 013B,180145,51619.027,28.654,E09000009,Ealing
E01001212,Ealing 018F,285553,76574.116,26.816,E09000009,Ealing
E01001213,Ealing 023A,151037,13003.495,8.609,E09000009,Ealing
E01001214,Ealing 023B,232761,21272.244,9.139,E09000009,Ealing
E01001215,Ealing 023C,173858,16021.203,9.215,E09000009,Ealing
E01001216,Ealing 023D,141724,17359.002,12.248,E09000009,Ealing
E01001217,Ealing 014A,186872,23778.752,12.725,E09000009,Ealing
E01001218,Ealing 012A,276311,62852.007,22.747,E09000009,Ealing
E01001219,Ealing 029A,165114,20308.02,12.299,E09000009,Ealing
E01001220,Ealing 029B,931014,366287.609,39.343,E09000009,Ealing
E01001221,Ealing 020A,302760,45290.37,14.959,E09000009,Ealing
E01001222,Ealing 019A,189140,28958.463,15.311,E09000009,Ealing
E01001223,Ealing 020B,223232,72220.417,32.352,E09000009,Ealing
E01001224,Ealing 019B,239351,65044.213,27.175,E09000009,Ealing
E01001225,Ealing 020C,234253,55669.617,23.765,E09000009,Ealing
E01001226,Ealing 019C,229180,63531.044,27.721,E09000009,Ealing
E01001227,Ealing 019D,172896,48893.843,28.279,E09000009,Ealing
E01001228,Ealing 019E,265879,69109.268,25.993,E09000009,Ealing
E01001229,Ealing 031A,203812,36781.015,18.047,E09000009,Ealing
E01001230,Ealing 031B,191332,45832.657,23.955,E09000009,Ealing
E01001231,Ealing 027A,401797,67198.521,16.724,E09000009,Ealing
E01001232,Ealing 031C,215793,46961.578,21.762,E09000009,Ealing
E01001233,Ealing 031D,170673,34846.077,20.417,E09000009,Ealing
E01001234,Ealing 027B,305927,68322.64,22.333,E09000009,Ealing
E01001235,Ealing 020D,274577,70329.84,25.614,E09000009,Ealing
E01001236,Ealing 020E,140032,33855.54,24.177,E09000009,Ealing
E01001237,Ealing 031E,235982,51041.145,21.629,E09000009,Ealing
E01001238,Ealing 015B,411589,66459.682,16.147,E09000009,Ealing
E01001239,Ealing 015C,415211,68949.028,16.606,E09000009,Ealing
E01001240,Ealing 024A,196336,50028.523,25.481,E09000009,Ealing
E01001241,Ealing 024B,353281,70812.041,20.044,E09000009,Ealing
E01001242,Ealing 024C,208438,55237.845,26.501,E09000009,Ealing
E01001243,Ealing 024D,221805,46745.634,21.075,E09000009,Ealing
E01001244,Ealing 024E,213843,48543.783,22.701,E09000009,Ealing
E01001245,Ealing 024F,110817,13800.521,12.453,E09000009,Ealing
E01001246,Ealing 015D,1005370,44106.935,4.387,E09000009,Ealing
E01001247,Ealing 015E,1135120,96473.155,8.499,E09000009,Ealing
E01001248,Ealing 035A,666327,155206.092,23.293,E09000009,Ealing
E01001249,Ealing 028A,155676,14041.477,9.02,E09000009,Ealing
E01001250,Ealing 028B,247289,44535.651,18.01,E09000009,Ealing
E01001251,Ealing 030A,186807,37987.17,20.335,E09000009,Ealing
E01001252,Ealing 030B,193677,32700.945,16.884,E09000009,Ealing
E01001253,Ealing 030C,163327,20179.204,12.355,E09000009,Ealing
E01001254,Ealing 030D,209657,31418.727,14.986,E09000009,Ealing
E01001255,Ealing 028C,177384,35643.484,20.094,E09000009,Ealing
E01001257,Ealing 008A,164756,29289.919,17.778,E09000009,Ealing
E01001258,Ealing 010B,212334,34164.834,16.09,E09000009,Ealing
E01001259,Ealing 014B,260882,55373.475,21.225,E09000009,Ealing
E01001260,Ealing 012B,268144,60090.241,22.41,E09000009,Ealing
E01001261,Ealing 012C,429860,69007.078,16.053,E09000009,Ealing
E01001262,Ealing 010C,259421,85799.484,33.073,E09000009,Ealing
E01001263,Ealing 010D,328051,81993.432,24.994,E09000009,Ealing
E01001264,Ealing 010E,303603,83959.532,27.654,E09000009,Ealing
E01001265,Ealing 006A,500812,70968.338,14.171,E09000009,Ealing
E01001266,Ealing 006B,733032,200795.028,27.392,E09000009,Ealing
E01001267,Ealing 006C,383885,67668.081,17.627,E09000009,Ealing
E01001268,Ealing 012D,304244,73761.302,24.244,E09000009,Ealing
E01001269,Ealing 001A,291186,56919.392,19.547,E09000009,Ealing
E01001270,Ealing 004A,281447,38399.339,13.644,E09000009,Ealing
E01001271,Ealing 001B,339186,42174.998,12.434,E09000009,Ealing
E01001272,Ealing 006D,547635,80375.024,14.677,E09000009,Ealing
E01001273,Ealing 020F,389004,94688.33,24.341,E09000009,Ealing
E01001274,Ealing 020G,268169,71359.28,26.61,E09000009,Ealing
E01001275,Ealing 020H,349119,85933.909,24.615,E09000009,Ealing
E01001276,Ealing 011A,360397,57227.984,15.879,E09000009,Ealing
E01001277,Ealing 011B,542709,87000.978,16.031,E09000009,Ealing
E01001278,Ealing 011C,452438,140272.495,31.004,E09000009,Ealing
E01001279,Ealing 013C,253076,74301.325,29.359,E09000009,Ealing
E01001280,Ealing 011D,371148,141291.297,38.069,E09000009,Ealing
E01001281,Ealing 013D,287755,94176.624,32.728,E09000009,Ealing
E01001282,Ealing 016B,150177,43843.123,29.194,E09000009,Ealing
E01001283,Ealing 016C,260869,71735.601,27.499,E09000009,Ealing
E01001284,Ealing 022A,472790,108905.62,23.035,E09000009,Ealing
E01001285,Ealing 016D,213171,43600.608,20.453,E09000009,Ealing
E01001286,Ealing 016E,213700,43700.714,20.45,E09000009,Ealing
E01001287,Ealing 016F,92193,17185.12,18.64,E09000009,Ealing
E01001288,Ealing 022B,172943,27915.911,16.142,E09000009,Ealing
E01001289,Ealing 022C,125309,23141.844,18.468,E09000009,Ealing
E01001290,Ealing 022D,506858,158871.53,31.344,E09000009,Ealing
E01001291,Ealing 014C,165654,23692.154,14.302,E09000009,Ealing
E01001292,Ealing 014D,186390,18681.185,10.023,E09000009,Ealing
E01001293,Ealing 014E,145785,13488.095,9.252,E09000009,Ealing
E01001294,Ealing 017A,296998,29538.306,9.946,E09000009,Ealing
E01001295,Ealing 017B,160063,14115.695,8.819,E09000009,Ealing
E01001296,Ealing 017C,158165,13278.223,8.395,E09000009,Ealing
E01001297,Ealing 017D,250421,23357.903,9.327,E09000009,Ealing
E01001298,Ealing 017E,175429,14883.232,8.484,E09000009,Ealing
E01001299,Ealing 035B,228177,37826.229,16.578,E09000009,Ealing
E01001300,Ealing 039A,137612,21622.335,15.713,E09000009,Ealing
E01001301,Ealing 039B,251146,65640.325,26.136,E09000009,Ealing
E01001302,Ealing 039C,336787,59207.19,17.58,E09000009,Ealing
E01001303,Ealing 032A,160826,29938.117,18.615,E09000009,Ealing
E01001304,Ealing 039D,115713,18175.073,15.707,E09000009,Ealing
E01001305,Ealing 035C,150771,22467.489,14.902,E09000009,Ealing
E01001306,Ealing 035D,153559,21714.153,14.141,E09000009,Ealing
E01001307,Ealing 002A,572485,155762.465,27.208,E09000009,Ealing
E01001308,Ealing 002B,1111410,404123.587,36.361,E09000009,Ealing
E01001309,Ealing 001C,334174,110718.837,33.132,E09000009,Ealing
E01001310,Ealing 001D,237647,66414.406,27.947,E09000009,Ealing
E01001311,Ealing 001E,321275,134029.628,41.718,E09000009,Ealing
E01001312,Ealing 002C,204975,51502.041,25.126,E09000009,Ealing
E01001313,Ealing 002D,172876,34729.923,20.089,E09000009,Ealing
E01001314,Ealing 002E,293295,128779.954,43.908,E09000009,Ealing
E01001315,Ealing 003A,164443,27823.811,16.92,E09000009,Ealing
E01001316,Ealing 003B,182051,32411.429,17.803,E09000009,Ealing
E01001317,Ealing 003C,337636,62638.515,18.552,E09000009,Ealing
E01001318,Ealing 003D,254512,48390.562,19.013,E09000009,Ealing
E01001319,Ealing 004B,139842,15794.148,11.294,E09000009,Ealing
E01001320,Ealing 003E,458081,118946.584,25.966,E09000009,Ealing
E01001321,Ealing 003F,331575,65781.905,19.839,E09000009,Ealing
E01001322,Ealing 004C,545032,98725.403,18.114,E09000009,Ealing
E01001323,Ealing 004D,338545,79571.689,23.504,E09000009,Ealing
E01001324,Ealing 008B,316390,55396.787,17.509,E09000009,Ealing
E01001325,Ealing 009A,951431,204853.902,21.531,E09000009,Ealing
E01001326,Ealing 008C,740038,132547.457,17.911,E09000009,Ealing
E01001327,Ealing 009B,278063,41051.657,14.763,E09000009,Ealing
E01001328,Ealing 009C,383476,62092.952,16.192,E09000009,Ealing
E01001329,Ealing 009D,301818,53248.095,17.642,E09000009,Ealing
E01001330,Ealing 008D,296921,30639.448,10.319,E09000009,Ealing
E01001331,Ealing 009E,142432,36735.626,25.792,E09000009,Ealing
E01001332,Ealing 008E,137132,22435.179,16.36,E09000009,Ealing
E01001333,Ealing 038A,278247,23773.491,8.544,E09000009,Ealing
E01001334,Ealing 029C,158982,23775.903,14.955,E09000009,Ealing
E01001335,Ealing 038B,490898,105596.247,21.511,E09000009,Ealing
E01001336,Ealing 038C,253361,48137.163,18.999,E09000009,Ealing
E01001337,Ealing 029D,1217730,218315.393,17.928,E09000009,Ealing
E01001338,Ealing 029E,546997,45218.592,8.267,E09000009,Ealing
E01001339,Ealing 029F,726136,114763.358,15.805,E09000009,Ealing
E01001340,Ealing 029G,121569,14330.676,11.788,E09000009,Ealing
E01001341,Ealing 005A,229183,27484.53,11.992,E09000009,Ealing
E01001342,Ealing 005B,189925,39102.903,20.589,E09000009,Ealing
E01001343,Ealing 005C,288306,36788.786,12.76,E09000009,Ealing
E01001344,Ealing 007A,483038,122905.759,25.444,E09000009,Ealing
E01001345,Ealing 005D,181062,12576.514,6.946,E09000009,Ealing
E01001346,Ealing 007B,229753,38566.8,16.786,E09000009,Ealing
E01001347,Ealing 007C,672378,118289.366,17.593,E09000009,Ealing
E01001348,Ealing 007D,411305,68212.927,16.585,E09000009,Ealing
E01001349,Ealing 006E,680384,137824.024,20.257,E09000009,Ealing
E01001350,Ealing 027C,298351,60515.583,20.283,E09000009,Ealing
E01001351,Ealing 025E,193986,28954.121,14.926,E09000009,Ealing
E01001352,Ealing 027D,160215,36923.432,23.046,E09000009,Ealing
E01001353,Ealing 033A,195749,39933.544,20.4,E09000009,Ealing
E01001354,Ealing 027E,270414,39269.397,14.522,E09000009,Ealing
E01001355,Ealing 033B,146416,25558.267,17.456,E09000009,Ealing
E01001356,Ealing 033C,83690.5,13160.866,15.726,E09000009,Ealing
E01001357,Ealing 033D,111383,23094.406,20.734,E09000009,Ealing
E01001358,Ealing 033E,259211,24195.313,9.334,E09000009,Ealing
E01001359,Ealing 026A,132789,6874.923,5.177,E09000009,Ealing
E01001360,Ealing 026B,140547,5030.362,3.579,E09000009,Ealing
E01001361,Ealing 023E,387022,49115.056,12.691,E09000009,Ealing
E01001362,Ealing 026C,244064,16704.254,6.844,E09000009,Ealing
E01001363,Ealing 026D,135348,11603.977,8.573,E09000009,Ealing
E01001364,Ealing 026E,118716,11276.068,9.498,E09000009,Ealing
E01001365,Ealing 026F,463919,16572.231,3.572,E09000009,Ealing
E01001366,Ealing 037A,170442,10974.124,6.439,E09000009,Ealing
E01001367,Ealing 037B,203372,13265.67,6.523,E09000009,Ealing
E01001368,Ealing 037C,128670,4631.467,3.599,E09000009,Ealing
E01001369,Ealing 038D,150014,20452.521,13.634,E09000009,Ealing
E01001370,Ealing 037D,448445,24294.185,5.417,E09000009,Ealing
E01001371,Ealing 037E,202494,20708.388,10.227,E09000009,Ealing
E01001372,Ealing 037F,128572,9086.974,7.068,E09000009,Ealing
E01001373,Ealing 037G,153410,5803.642,3.783,E09000009,Ealing
E01001374,Ealing 040A,129820,20038.963,15.436,E09000009,Ealing
E01001375,Ealing 034A,138311,25105.547,18.152,E09000009,Ealing
E01001376,Ealing 040B,155414,28500.477,18.338,E09000009,Ealing
E01001377,Ealing 034B,190564,49202.37,25.819,E09000009,Ealing
E01001379,Ealing 034C,133304,24978.947,18.738,E09000009,Ealing
E01001380,Ealing 040C,175685,24824.346,14.13,E09000009,Ealing
E01001381,Ealing 034D,285200,22256.502,7.804,E09000009,Ealing
E01001382,Ealing 032B,204063,51060.855,25.022,E09000009,Ealing
E01001383,Ealing 028D,115681,17030.772,14.722,E09000009,Ealing
E01001384,Ealing 032C,108899,13994.315,12.851,E09000009,Ealing
E01001385,Ealing 032D,160158,27655.186,17.267,E09000009,Ealing
E01001386,Ealing 031F,308393,70049.696,22.714,E09000009,Ealing
E01001387,Ealing 032E,251367,69715.392,27.735,E09000009,Ealing
E01001388,Ealing 028E,178131,32483.272,18.236,E09000009,Ealing
E01001389,Ealing 028F,139550,19450.555,13.938,E09000009,Ealing
E01001390,Enfield 036A,153611,23729.657,15.448,E09000010,Enfield
E01001391,Enfield 036B,132499,20594.121,15.543,E09000010,Enfield
E01001392,Enfield 032A,160271,26571.918,16.579,E09000010,Enfield
E01001393,Enfield 036C,179445,41470.051,23.11,E09000010,Enfield
